name,reported_exact_top1,pred1_exact_canon,pred10_exact_canon,proposal_exact_canon,pred1_formula_match,all_pred_formula_match,raw_duplicate_pred_count,canon_duplicate_pred_count,proposal_position_in_predictions
MassSpecGymID0000787,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0000788,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0000819,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0000820,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000821,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000822,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0000823,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000824,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000825,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000826,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000827,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000828,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000829,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000830,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000831,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000832,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000833,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000834,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000835,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000836,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000837,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000838,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001013,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001014,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001015,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001016,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001017,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001018,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001019,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001020,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001021,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001022,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0001331,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001332,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001333,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001334,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001335,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001336,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001337,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001338,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001340,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001341,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0001342,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0001343,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0001408,0.0,False,False,False,True,True,0,0,1.0
