shard,n,top1,top10,tan1,tan10,mist,formula_success,avg_formula,avg_gen,gen_time_mean,gen_time_p95
shard_000,500,0.13,0.146,0.6137783570289612,0.6233426642715931,0.7852813463211059,0.854,5.918,90.03,32.71494165229797,57.29744713306427
shard_001,500,0.278,0.29,0.579868980422616,0.5990409024059773,0.6064585865736007,0.992,10.912,88.002,16.419799340724946,31.252060472965237
shard_002,436,0.22706422018348624,0.2706422018348624,0.6936813040610847,0.7205604965191915,0.7639015458455873,0.8577981651376146,9.972477064220184,92.78669724770643,23.30063270155443,47.85616451501846
shard_003,500,0.174,0.226,0.5953814918398858,0.6231895250976086,0.620771469026804,0.944,9.136,88.348,22.192825486183168,63.72177214622498
shard_004,500,0.218,0.224,0.5929329563975334,0.6124672178179026,0.654939402461052,0.966,10.548,85.318,22.241838699817656,61.09670122861861
shard_005,471,0.19745222929936307,0.21443736730360935,0.48087525136784637,0.5065131361127659,0.5546709042034584,0.9384288747346072,10.902335456475583,81.41613588110404,18.225493286319093,63.35426151752472
shard_006,500,0.216,0.234,0.5497322793863714,0.5652743960171938,0.6604584341943264,0.966,10.66,84.448,20.07149032688141,45.09334343671797
shard_007,500,0.022,0.028,0.4631423050761223,0.4831765892356634,0.5929428201019764,0.806,4.83,96.368,30.965197679519655,42.683891761302945
shard_008,500,0.046,0.048,0.38437537659704685,0.4071942414343357,0.48097437566518786,0.878,6.858,88.888,27.284341562747954,55.81075661182403
shard_009,490,0.07346938775510205,0.09591836734693877,0.4176756537386349,0.4482150495736575,0.4862402945680886,0.9428571428571428,7.624489795918367,89.74897959183673,24.289235847823473,57.90366123914718
shard_010,500,0.018,0.02,0.35589702472090723,0.38366851764917376,0.4660364894270897,0.83,5.522,90.316,30.55058972835541,57.85917631387709
shard_011,500,0.13,0.15,0.4777318406254053,0.5015961148738861,0.5419001128226518,0.928,7.608,92.742,27.33206926584244,54.824735736846925
shard_012,491,0.06517311608961303,0.07942973523421588,0.34448083286797687,0.37514532630591674,0.3982988062434187,0.9938900203665988,9.472505091649694,83.39307535641548,11.970171490900386,20.82222628593445
