bit,threshold
0,0.18700000643730164
1,0.05000000074505806
2,0.20000000298023224
3,0.25
4,0.05000000074505806
5,0.20000000298023224
6,0.10000000149011612
7,0.10000000149011612
8,0.05000000074505806
9,0.25
10,0.30000001192092896
11,0.10000000149011612
12,0.05000000074505806
13,0.4000000059604645
14,0.15000000596046448
15,0.25
16,0.30000001192092896
17,0.05000000074505806
18,0.05000000074505806
19,0.25
20,0.30000001192092896
21,0.05000000074505806
22,0.5
23,0.05000000074505806
24,0.10000000149011612
25,0.4000000059604645
26,0.05000000074505806
27,0.05000000074505806
28,0.15000000596046448
29,0.18700000643730164
30,0.10000000149011612
31,0.3499999940395355
32,0.15000000596046448
33,0.05000000074505806
34,0.18700000643730164
35,0.4000000059604645
36,0.25
37,0.4000000059604645
38,0.25
39,0.05000000074505806
40,0.05000000074505806
41,0.15000000596046448
42,0.4000000059604645
43,0.15000000596046448
44,0.25
45,0.20000000298023224
46,0.10000000149011612
47,0.15000000596046448
48,0.25
49,0.18700000643730164
50,0.25
51,0.05000000074505806
52,0.5
53,0.05000000074505806
54,0.15000000596046448
55,0.15000000596046448
56,0.15000000596046448
57,0.25
58,0.18700000643730164
59,0.25
60,0.25
61,0.05000000074505806
62,0.4000000059604645
63,0.10000000149011612
64,0.18700000643730164
65,0.15000000596046448
66,0.30000001192092896
67,0.25
68,0.10000000149011612
69,0.18700000643730164
70,0.05000000074505806
71,0.05000000074505806
72,0.05000000074505806
73,0.25
74,0.25
75,0.18700000643730164
76,0.10000000149011612
77,0.25
78,0.25
79,0.05000000074505806
80,0.05000000074505806
81,0.18700000643730164
82,0.15000000596046448
83,0.3499999940395355
84,0.15000000596046448
85,0.05000000074505806
86,0.15000000596046448
87,0.25
88,0.25
89,0.10000000149011612
90,0.05000000074505806
91,0.25
92,0.20000000298023224
93,0.15000000596046448
94,0.3499999940395355
95,0.3499999940395355
96,0.25
97,0.18700000643730164
98,0.05000000074505806
99,0.25
100,0.10000000149011612
101,0.15000000596046448
102,0.25
103,0.10000000149011612
104,0.05000000074505806
105,0.30000001192092896
106,0.10000000149011612
107,0.25
108,0.10000000149011612
109,0.30000001192092896
110,0.10000000149011612
111,0.05000000074505806
112,0.20000000298023224
113,0.10000000149011612
114,0.15000000596046448
115,0.30000001192092896
116,0.18700000643730164
117,0.15000000596046448
118,0.25
119,0.18700000643730164
120,0.05000000074505806
121,0.05000000074505806
122,0.05000000074505806
123,0.18700000643730164
124,0.25
125,0.25
126,0.20000000298023224
127,0.25
128,0.25
129,0.05000000074505806
130,0.3499999940395355
131,0.30000001192092896
132,0.05000000074505806
133,0.20000000298023224
134,0.25
135,0.10000000149011612
136,0.25
137,0.30000001192092896
138,0.05000000074505806
139,0.15000000596046448
140,0.30000001192092896
141,0.05000000074505806
142,0.18700000643730164
143,0.10000000149011612
144,0.15000000596046448
145,0.4000000059604645
146,0.10000000149011612
147,0.25
148,0.05000000074505806
149,0.4000000059604645
150,0.15000000596046448
151,0.30000001192092896
152,0.05000000074505806
153,0.25
154,0.18700000643730164
155,0.4000000059604645
156,0.25
157,0.15000000596046448
158,0.25
159,0.25
160,0.10000000149011612
161,0.05000000074505806
162,0.5
163,0.10000000149011612
164,0.3499999940395355
165,0.25
166,0.30000001192092896
167,0.10000000149011612
168,0.25
169,0.05000000074505806
170,0.5
171,0.18700000643730164
172,0.25
173,0.4000000059604645
174,0.25
175,0.4000000059604645
176,0.5
177,0.05000000074505806
178,0.25
179,0.05000000074505806
180,0.10000000149011612
181,0.05000000074505806
182,0.10000000149011612
183,0.25
184,0.10000000149011612
185,0.10000000149011612
186,0.18700000643730164
187,0.05000000074505806
188,0.18700000643730164
189,0.15000000596046448
190,0.05000000074505806
191,0.25
192,0.10000000149011612
193,0.15000000596046448
194,0.10000000149011612
195,0.20000000298023224
196,0.25
197,0.15000000596046448
198,0.20000000298023224
199,0.25
200,0.10000000149011612
201,0.3499999940395355
202,0.5
203,0.18700000643730164
204,0.20000000298023224
205,0.18700000643730164
206,0.10000000149011612
207,0.10000000149011612
208,0.10000000149011612
209,0.05000000074505806
210,0.3499999940395355
211,0.15000000596046448
212,0.05000000074505806
213,0.15000000596046448
214,0.10000000149011612
215,0.18700000643730164
216,0.18700000643730164
217,0.15000000596046448
218,0.18700000643730164
219,0.10000000149011612
220,0.15000000596046448
221,0.15000000596046448
222,0.25
223,0.05000000074505806
224,0.05000000074505806
225,0.25
226,0.10000000149011612
227,0.05000000074505806
228,0.5
229,0.25
230,0.10000000149011612
231,0.30000001192092896
232,0.05000000074505806
233,0.05000000074505806
234,0.05000000074505806
235,0.10000000149011612
236,0.25
237,0.10000000149011612
238,0.05000000074505806
239,0.05000000074505806
240,0.10000000149011612
241,0.05000000074505806
242,0.10000000149011612
243,0.18700000643730164
244,0.25
245,0.10000000149011612
246,0.25
247,0.10000000149011612
248,0.25
249,0.4000000059604645
250,0.25
251,0.25
252,0.20000000298023224
253,0.25
254,0.10000000149011612
255,0.05000000074505806
256,0.15000000596046448
257,0.25
258,0.05000000074505806
259,0.25
260,0.5
261,0.25
