spec_name,num_all_matched_candidates,saved_top1_tanimoto,oracle_best_tanimoto,oracle_gain,exact_candidate_rank,exact_in_all_matched
MassSpecGymID0000201,10,0.8333333134651184,0.8333333333333334,1.9868214962137642e-08,,False
MassSpecGymID0000202,10,0.7954545617103577,0.7954545454545454,-1.6255812251841917e-08,,False
MassSpecGymID0000203,10,0.686274528503418,0.6862745098039216,-1.8699496395768733e-08,,False
MassSpecGymID0000204,10,0.7777777910232544,0.7777777777777778,-1.3245476604417661e-08,,False
MassSpecGymID0000205,10,0.6730769276618958,0.6730769230769231,-4.584972623788985e-09,,False
MassSpecGymID0000206,10,0.760869562625885,0.7608695652173914,2.5915063428527674e-09,,False
MassSpecGymID0000207,10,0.686274528503418,0.6862745098039216,-1.8699496395768733e-08,,False
MassSpecGymID0000208,10,0.7142857313156128,0.7142857142857143,-1.7029898491394135e-08,,False
MassSpecGymID0000209,10,0.6730769276618958,0.6730769230769231,-4.584972623788985e-09,,False
MassSpecGymID0000210,10,0.7446808218955994,0.7446808510638298,2.9168230386567018e-08,,False
