train_coverage_bin,targets,spectra,exact_in_train_share,median_nn_train_tanimoto,p25_nn_train_tanimoto,p75_nn_train_tanimoto,share_nn_ge_085,share_nn_ge_070,exact_top10,bad_low_tanimoto_share,mist_tanimoto,mol_wt_median,heavy_atoms_median,chiral_centers_median
ood_lt_0.50,2270,10813,0.0,0.36250001192092896,0.3239436745643616,0.404695026576519,0.0,0.0,0.13800311318925215,0.668234049304841,0.48922010608800975,422.3950000000001,30.0,0.0
weak_train_0.50_0.70,470,3864,0.0,0.5750275552272797,0.5278333425521851,0.6270554065704346,0.0,0.0,0.14943704012911901,0.5275021101903478,0.5629033973027389,486.53550000000035,35.0,1.0
near_train_0.70_0.85,122,1248,0.0,0.7428337335586548,0.718887060880661,0.7878788113594055,0.0,1.0,0.09836271005382308,0.44134038201031744,0.6350733226660058,636.1220000000003,45.0,4.0
near_train_ge_0.85,43,1157,0.0,0.9200000166893005,0.8878406882286072,0.9686692357063293,1.0,1.0,0.012723579404025317,0.4120443848629236,0.6407295214006633,768.7650000000003,54.0,14.0
