threshold,total_spectra,wall_or_elapsed_seconds,exact_top1,exact_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,avg_formula_matches,avg_total_generated,never_matched_rate,generation_time_pct
0.187,200,1155.2152481079102,0.095,0.095,0.4216148009523749,0.43153225895017383,0.5162259753420949,0.825,2.245,26.085,0.175,96.56799115608192
0.25,200,2466.1900310516357,0.09,0.09,0.41850601736456156,0.4294353799149394,0.5218228963389993,0.81,2.135,26.87,0.19,98.02479431999829
0.30,200,1195.827335357666,0.085,0.085,0.4045243909209967,0.41283448491245506,0.5188157907873392,0.725,1.955,27.515,0.275,96.58195988948681
