run,name,round1_candidates,round2_candidates,added_unique_candidates,top1_changed,round1_top1_tanimoto,round2_top1_tanimoto,round1_best_tanimoto,round2_best_tanimoto,round1_best_rank,round2_best_rank,round1_exact_rank,round2_exact_rank,added_best_tanimoto,added_exact_any
A35_before_fix,MassSpecGymID0374577,20,40,20,True,0.11475409836065574,0.11475409836065574,0.14285714285714285,0.16666666666666666,17,12,,,0.16666666666666666,False
A35_before_fix,MassSpecGymID0075191,25,51,26,False,0.34951456310679613,0.34951456310679613,0.34951456310679613,0.34951456310679613,1,1,,,0.30201342281879195,False
A35_before_fix,MassSpecGymID0395776,31,61,30,False,0.18627450980392157,0.18627450980392157,0.2698412698412698,0.27419354838709675,24,33,,,0.27419354838709675,False
A35_before_fix,MassSpecGymID0088989,14,30,16,False,1.0,1.0,1.0,1.0,1,1,1,1,0.7931034482758621,False
A35_before_fix,MassSpecGymID0134704,23,42,19,False,0.17037037037037037,0.17037037037037037,0.1897810218978102,0.1897810218978102,12,16,,,0.1893939393939394,False
A35_before_fix,MassSpecGymID0262882,30,58,28,True,0.6235294117647059,0.7922077922077922,0.691358024691358,0.7922077922077922,6,1,,,0.7922077922077922,False
A35_before_fix,MassSpecGymID0310002,30,61,31,False,0.5681818181818182,0.5681818181818182,0.6753246753246753,0.6753246753246753,3,3,,,0.6666666666666666,False
A35_before_fix,MassSpecGymID0193644,23,50,27,False,0.66,0.66,0.66,0.66,1,1,,,0.6021505376344086,False
A35_before_fix,MassSpecGymID0179811,22,45,23,False,0.16853932584269662,0.16853932584269662,0.2702702702702703,0.29333333333333333,5,3,,,0.29333333333333333,False
A35_before_fix,MassSpecGymID0236112,31,56,25,False,0.5671641791044776,0.5671641791044776,0.6229508196721312,0.6229508196721312,6,8,,,0.609375,False
A35_before_fix,MassSpecGymID0380611,31,62,31,False,0.34108527131782945,0.34108527131782945,0.34108527131782945,0.34108527131782945,1,1,,,0.2692307692307692,False
A35_before_fix,MassSpecGymID0211487,29,54,25,False,1.0,1.0,1.0,1.0,1,1,1,1,0.5283018867924528,False
A35_before_fix,MassSpecGymID0225773,21,41,20,True,0.7580645161290323,1.0,0.9272727272727272,1.0,5,1,,1,1.0,True
A35_before_fix,MassSpecGymID0212445,28,54,26,False,0.3380281690140845,0.3380281690140845,0.46774193548387094,0.46774193548387094,4,10,,,0.45454545454545453,False
A35_before_fix,MassSpecGymID0190113,27,49,22,True,0.23469387755102042,0.2376237623762376,0.26582278481012656,0.26865671641791045,7,13,,,0.26865671641791045,False
A35_before_fix,MassSpecGymID0215197,12,24,12,False,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,1,1,,,0.78125,False
A35_before_fix,MassSpecGymID0160948,24,41,17,True,0.14018691588785046,0.11711711711711711,0.1523809523809524,0.1523809523809524,18,31,,,0.14563106796116504,False
A35_before_fix,MassSpecGymID0208288,25,51,26,True,0.21686746987951808,0.2625,0.2972972972972973,0.2972972972972973,2,4,,,0.2972972972972973,False
A35_before_fix,MassSpecGymID0218829,25,52,27,False,0.25,0.25,0.3559322033898305,0.3559322033898305,20,35,,,0.31645569620253167,False
A35_before_fix,MassSpecGymID0190471,24,47,23,True,0.44761904761904764,0.5368421052631579,0.44761904761904764,0.5368421052631579,1,1,,,0.5368421052631579,False
A35_before_fix,MassSpecGymID0344987,22,40,18,False,0.10434782608695652,0.10434782608695652,0.1574074074074074,0.1574074074074074,12,17,,,0.14102564102564102,False
A35_before_fix,MassSpecGymID0146918,28,56,28,True,0.5092592592592593,0.44537815126050423,0.5092592592592593,0.5092592592592593,1,2,,,0.44537815126050423,False
A35_before_fix,MassSpecGymID0206920,26,49,23,False,0.136986301369863,0.136986301369863,0.18181818181818182,0.18181818181818182,10,14,,,0.16666666666666666,False
A35_before_fix,MassSpecGymID0213004,24,41,17,False,0.2236842105263158,0.2236842105263158,0.22972972972972974,0.22972972972972974,5,7,,,0.2236842105263158,False
A35_before_fix,MassSpecGymID0250589,29,58,29,True,0.8072289156626506,0.7272727272727273,0.8072289156626506,0.8072289156626506,1,3,,,0.7272727272727273,False
A35_before_fix,MassSpecGymID0347505,30,54,24,True,0.15079365079365079,0.11764705882352941,0.168,0.168,20,32,,,0.16666666666666666,False
A35_before_fix,MassSpecGymID0232185,29,61,32,False,0.8352941176470589,0.8352941176470589,0.8352941176470589,0.8352941176470589,1,1,,,0.6701030927835051,False
A35_before_fix,MassSpecGymID0056495,30,61,31,False,0.1643835616438356,0.1643835616438356,0.2,0.2,26,47,,,0.1864406779661017,False
A35_before_fix,MassSpecGymID0234679,19,37,18,False,1.0,1.0,1.0,1.0,1,1,1,1,0.8375,False
