spec_name,a15_exact_top10,a16_exact_top10,a15_tanimoto_top10,a16_tanimoto_top10,delta_tanimoto_top10,a15_total_formula_matched,a16_total_formula_matched,a15_total_generated,a16_total_generated,a15_total_valid,a16_total_valid
MassSpecGymID0341761,0.0,0.0,0.6263736486434937,0.621052622795105,-0.005321025848388672,6,19,200,400,200,400
MassSpecGymID0347534,0.0,0.0,0.5714285969734192,0.5555555820465088,-0.0158730149269104,6,20,200,366,200,358
MassSpecGymID0380322,0.0,0.0,0.891566276550293,0.6170212626457214,-0.27454501390457153,6,8,200,400,200,400
MassSpecGymID0105109,0.0,0.0,0.6702127456665039,0.6559139490127563,-0.014298796653747559,5,8,200,400,200,400
MassSpecGymID0152325,0.0,0.0,0.9166666865348816,0.9634146094322205,0.04674792289733887,6,14,200,400,200,400
MassSpecGymID0185133,0.0,0.0,0.8846153616905212,0.9220778942108154,0.03746253252029419,9,13,200,400,200,400
