metric,micro_per_spectrum,macro_per_target_smiles
exact_match_top1,0.10970612340475354,0.12103698812614434
exact_match_top10,0.12393162393162394,0.13697833329085846
tanimoto_top1,0.45983813707083776,0.44108582442505706
mist_tanimoto,0.5406695362101962,0.5177003869424481
