threshold,count,mist_tanimoto_mean,mist_tanimoto_median,mist_tanimoto_min,mist_tanimoto_max,active_bits_mean,active_bits_median
0.05,200,0.3504010532796383,0.3031173050403595,0.0972222238779068,0.8965517282485962,130.28,130.0
0.1,200,0.4614385574311018,0.4486277252435684,0.1034482792019844,1.0,79.8,78.0
0.15,200,0.5052947325259447,0.49719101190567017,0.125,1.0,62.865,59.0
0.187,200,0.5162259753420949,0.4941265732049942,0.10989011079072952,1.0,56.15,53.0
0.2,200,0.5198029266670346,0.5003670156002045,0.1149425283074379,1.0,54.275,50.5
0.25,200,0.5218228963389993,0.4985930621623993,0.10975609719753265,1.0,49.19,46.5
0.3,200,0.5188157907873392,0.49985477328300476,0.1139240488409996,1.0,45.73,44.0
0.4,200,0.5057180758565665,0.4661122113466263,0.11666666716337204,1.0,40.89,37.0
0.5,200,0.48733692429959774,0.4284522384405136,0.11290322244167328,1.0,37.085,34.0
