formula_actual_bin,spectra,exact_top1,exact_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,avg_actual_formula_matches,avg_generated,avg_generation_time_s,median_target_smiles_len
0,1471,0.0,0.0,0.4181140136102849,0.4407079345961358,0.5810593047250825,0.0,0.0,100.0,41.9521359411897,107.0
1-2,2525,0.004356435643564357,0.006732673267326733,0.40864048027018507,0.4323914725827699,0.5442851846170897,1.0,1.4712871287128713,100.0,35.99937336043556,95.0
3-5,3007,0.023611572996341867,0.02959760558696375,0.41172418667181293,0.43966471396403967,0.5079323879118215,1.0,3.936481543066179,100.0,28.64942907073944,84.0
6-9,3112,0.05077120822622108,0.06201799485861183,0.40748835474930245,0.4346121578000888,0.47521191538529406,1.0,7.4122750642673525,100.0,22.626855056819082,71.0
10+,6967,0.2345342328118272,0.2609444524185446,0.5313526254398068,0.5536124295711056,0.5741992992685432,1.0,13.124730874120855,76.07607291517152,13.2281370172888,60.0
