tanimoto_top10_bin,spectra,exact_top1,exact_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,avg_actual_formula_matches,avg_generated,avg_generation_time_s,median_target_smiles_len
0.0-0.2,3201,0.0,0.0,0.13961276360163366,0.1607787040577516,0.20038284506952525,0.9368947203998751,6.583880037488285,89.67104029990628,19.745267619717236,66.0
0.2-0.4,4958,0.0,0.0,0.2564459546946647,0.2852275429767627,0.3841987986022929,0.8898749495764421,6.003630496167809,90.45461879790238,21.96854531649574,69.0
0.4-0.6,3273,0.0012221203788573174,0.0015276504735716467,0.470389639551837,0.4961077927031577,0.6373152189523555,0.8823709135349832,5.621448212648946,91.51329055912008,28.113034142363958,86.0
0.6-0.8,2675,0.003738317757009346,0.014205607476635514,0.6775802586123209,0.7021703381404698,0.7627472249815397,0.9211214953271029,7.398130841121495,89.53009345794392,27.256467765202032,90.0
0.8-1.0,2975,0.6252100840336134,0.6971428571428572,0.935960697727043,0.954889148583933,0.8615638146380417,0.9573109243697479,13.79126050420168,89.74621848739496,21.60819667455529,69.0
