shard,spectra,exact_top1,exact_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,avg_actual_formula_matches,avg_generated,avg_generation_time_s,median_target_smiles_len,shard_index
shard_029,500,0.0,0.0,0.31445554699003697,0.33921930338442324,0.39121295484900476,0.776,3.476,97.41,32.85079165363312,85.0,29
shard_028,500,0.0,0.0,0.37783563482761384,0.40297410714626314,0.472923621609807,0.79,2.916,98.384,36.750566025733946,102.0,28
shard_025,500,0.0,0.008,0.6287677322030067,0.6811594623029232,0.6327006405591965,0.978,5.654,97.462,35.974297085762025,102.0,25
shard_027,500,0.002,0.006,0.32405355434119704,0.34946078541874886,0.40636986066401004,0.856,3.764,97.914,32.82590701770783,84.0,27
shard_033,464,0.0021551724137931034,0.004310344827586207,0.35324762933405823,0.37609319218659193,0.508148713904465,0.8017241379310345,2.831896551724138,99.45258620689656,33.8304554033896,93.0,33
shard_034,500,0.012,0.012,0.33753950634598734,0.3597060606777668,0.48573851862549783,0.768,3.792,95.086,35.313047316074375,90.0,34
shard_031,483,0.012422360248447204,0.014492753623188406,0.2947206119958535,0.31837546169819547,0.4433772944484685,0.8405797101449275,4.488612836438923,94.79503105590062,24.780006437815,82.0,31
shard_032,468,0.01282051282051282,0.01282051282051282,0.30678325613689983,0.3287910000444987,0.4624468815855236,0.8461538461538461,4.098290598290598,97.52136752136752,28.580304567121033,88.0,32
shard_030,460,0.015217391304347827,0.01956521739130435,0.364217621460557,0.38733018756560655,0.49921134423626506,0.7804347826086957,3.55,97.00652173913043,33.698515106802404,92.0,30
shard_010,500,0.018,0.02,0.35589702472090723,0.38366851764917376,0.4660364894270897,0.83,5.522,90.316,30.55058972835541,106.0,10
shard_007,500,0.022,0.028,0.4631423050761223,0.4831765892356634,0.5929428201019764,0.806,4.83,96.368,30.965197679519655,93.0,7
shard_008,500,0.046,0.048,0.38437537659704685,0.4071942414343357,0.48097437566518786,0.878,6.858,88.888,27.284341562747954,88.0,8
