outcome_bucket,spectra,share,avg_tanimoto_top10,avg_mist_tanimoto,formula_success,median_target_smiles_len
"No exact, low Tanimoto <0.5",9814,0.5745228895913828,0.27151577802086846,0.3600118177659568,0.9038108824128795,70.0
"No exact, medium Tanimoto 0.5-0.8",4250,0.24879990633415291,0.6438095881938934,0.7303315728341832,0.9058823529411765,88.0
Exact Top-1,1874,0.10970612340475354,0.993558537743771,0.878277009633333,1.0,63.0
"No exact, high Tanimoto >=0.8",901,0.05274558014284041,0.8667598646568273,0.8456823178520478,0.8590455049944506,101.0
Exact Top-10 only,243,0.01422550052687039,0.938051579175172,0.7851891728585639,1.0,63.0
