target_length_bin,spectra,exact_top1,exact_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,avg_actual_formula_matches,avg_generated,avg_generation_time_s,median_target_smiles_len
"(102.0, 213.0]",2909,0.037813681677552426,0.047438982468202134,0.5208606898167384,0.5419590062035671,0.6410456501720962,0.7119284977655552,3.128222756961155,98.20247507734616,44.214508592652145,128.0
"(24.999, 55.0]",3502,0.13506567675613934,0.15419760137064534,0.3919827063870576,0.4197139289806667,0.4489502968114489,0.9960022844089091,11.305254140491147,79.40862364363221,8.957626335216482,48.0
"(55.0, 66.0]",3355,0.1970193740685544,0.21818181818181817,0.47601670223925313,0.500545462277536,0.5243704551067508,0.9931445603576751,10.546050670640835,86.09478390461997,13.993309976660193,60.0
"(66.0, 82.0]",3449,0.13163235720498695,0.1461293128443027,0.45603266885791977,0.4787435827328005,0.5249963644476136,0.9765149318643085,8.41461293128443,90.53580748042911,21.04825443314552,74.0
"(82.0, 102.0]",3867,0.04551331781742953,0.052495474528057924,0.4647414435210819,0.48998161254849026,0.576342369768627,0.8668218257046806,4.3868632014481515,97.40263770364623,31.497659431861482,93.0
