mist_bin,spectra,exact_top1,exact_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,avg_actual_formula_matches,avg_generated,avg_generation_time_s,median_target_smiles_len
0.0-0.2,1736,0.0,0.0,0.1307783527868426,0.15371826272844097,0.16200156894207754,0.9141705069124424,6.255184331797235,89.94354838709677,22.642976989119834,74.0
0.2-0.4,4809,0.0,0.0,0.2061549289995232,0.23556341385644294,0.28259921247744957,0.9403202328966521,6.75254730713246,89.70700769390726,18.51230846534129,61.0
0.4-0.6,2743,0.005468465184104995,0.01093693036820999,0.3989174017995715,0.43581749041433365,0.5024080569405995,0.908494349252643,6.288734961720744,90.49507838133431,24.291652412602296,80.0
0.6-0.8,4006,0.08087868197703445,0.1090863704443335,0.605534147900816,0.633341349393531,0.704428536604478,0.8959061407888168,7.035946080878682,90.38866699950074,27.001219570130868,85.0
0.8-1.0,3788,0.4052270327349525,0.4355860612460401,0.8227361546516607,0.8287698742446766,0.8963613155304819,0.9031151003167899,10.900475184794086,90.72175290390707,25.924302752884035,78.0
