spec_name,num_all_matched_candidates,saved_top1_tanimoto,oracle_best_tanimoto,oracle_gain,exact_candidate_rank,exact_in_all_matched
MassSpecGymID0000201,10,0.6603773832321167,0.660377358490566,-2.4741550697093828e-08,,False
MassSpecGymID0000202,10,0.5932203531265259,0.5932203389830508,-1.4143475057792898e-08,,False
MassSpecGymID0000203,10,0.699999988079071,0.7,1.1920928910669204e-08,,False
MassSpecGymID0000204,10,0.7804877758026123,0.7804878048780488,2.9075436502878915e-08,,False
MassSpecGymID0000205,10,0.6603773832321167,0.660377358490566,-2.4741550697093828e-08,,False
MassSpecGymID0000206,10,0.7142857313156128,0.7142857142857143,-1.7029898491394135e-08,,False
MassSpecGymID0000207,10,0.7777777910232544,0.7777777777777778,-1.3245476604417661e-08,,False
MassSpecGymID0000208,10,0.6034482717514038,0.603448275862069,4.11066514161007e-09,,False
MassSpecGymID0000209,10,0.8536585569381714,0.8536585365853658,-2.035280555201524e-08,,False
MassSpecGymID0000210,10,0.699999988079071,0.7,1.1920928910669204e-08,,False
