shard_quality_group,spectra,unique_targets,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,near_miss_high_tanimoto_share,mol_wt_median,heavy_atoms_median,ring_count_median,max_ring_size_median,amide_count_median,ester_count_median,chiral_centers_median,rotatable_bonds_median
best_8_shards,3858,846,0.24313115603939867,0.26594090202177295,0.6107831281113031,0.6548378044375334,0.9606013478486263,0.383618455158113,0.07283566614826335,444.6230000000004,32.0,4.0,6.0,0.0,0.0,0.0,7.0
middle_20_shards,9309,1839,0.0983993984316253,0.11419056826726824,0.46910028165581086,0.5208424742524977,0.9288860242775808,0.5969491889569234,0.05510796003867225,458.55100000000033,33.0,4.0,6.0,0.0,0.0,1.0,6.0
worst_8_shards,3915,315,0.005108556832694764,0.007151979565772669,0.395508719453562,0.4753078353016769,0.832183908045977,0.7093231162196679,0.027330779054916987,654.7640000000002,47.0,5.0,6.0,0.0,0.0,8.0,10.0
