threshold,precision_mean,precision_median,recall_mean,recall_median,f1_mean,f1_median,pred_bits_mean,pred_bits_median
0.187,0.6196889659401333,0.672640218878249,0.6324828909326349,0.7422439759036145,0.6216204596340164,0.7097770154373928,68.45,74.5
0.25,0.6573616835198034,0.6927546138072453,0.6024723436289747,0.6775641025641026,0.6220146996858783,0.6933333333333334,60.55,63.5
0.3,0.6880840431539389,0.7341269841269842,0.5877587598470507,0.6356589147286822,0.6261050098389523,0.6872920183265011,56.3,60.0
