mode,alpha_primary,value,mean_tanimoto,median_tanimoto,bit_accuracy,bit_precision,bit_recall,bit_f1,mean_active_bits,mean_target_active_bits
threshold,1.0,0.25,0.5420425056316476,0.5483871102333069,0.9908363099096453,0.7285243958048335,0.6569716996882203,0.6909004105217774,57.5802116394043,63.8514404296875
threshold,0.95,0.25,0.5420244868919281,0.5454545617103577,0.9908560534669891,0.7298613956278716,0.6563598188372125,0.6911619709924027,57.42120361328125,63.8514404296875
threshold,0.9,0.25,0.541596592441166,0.5423728823661804,0.9908555662883015,0.7299138262253692,0.6562076710449593,0.6911011089779707,57.403770446777344,63.8514404296875
threshold,1.0,0.3,0.5404596290019172,0.5384615659713745,0.9911767580689098,0.7587521660378986,0.63631825370521,0.6921626986789476,53.54823303222656,63.8514404296875
threshold,0.95,0.3,0.5401575026799621,0.5352112650871277,0.9911991554680526,0.7610302455416569,0.6347531874962478,0.6921795497847844,53.256629943847656,63.8514404296875
threshold,0.9,0.3,0.5394852630565559,0.5338982939720154,0.9912072580188587,0.7623964201209793,0.6333369793975441,0.6918998226874685,53.04258728027344,63.8514404296875
threshold,0.95,0.2,0.5378650501165023,0.5486725568771362,0.9901943494246573,0.6866474618434478,0.6823861379380108,0.6845101678835127,63.45518112182617,63.8514404296875
threshold,1.0,0.2,0.5378422073161897,0.5490196347236633,0.9901897596885995,0.6867113226540073,0.6816747442066644,0.6841837644370777,63.38313293457031,63.8514404296875
threshold,0.9,0.2,0.536873780607235,0.5432098507881165,0.9901587982009465,0.6845320222998627,0.6838525136871332,0.684192099279243,63.78805923461914,63.8514404296875
threshold,0.8,0.3,0.5363206287345853,0.52173912525177,0.9911544632337014,0.7605705532535526,0.6313047783453393,0.6899351021418855,52.99931716918945,63.8514404296875
threshold,0.8,0.25,0.5360880323941437,0.5283018946647644,0.9906920665566087,0.7209519230682497,0.6573286301846416,0.6876718080378844,58.21661376953125,63.8514404296875
threshold,1.0,0.35,0.5359091938552561,0.5283018946647644,0.9913664116038373,0.7824554424928045,0.6179807438464442,0.6905597000351521,50.42966079711914,63.8514404296875
threshold,0.95,0.35,0.5353053604746443,0.5257731676101685,0.991386167981673,0.7852206563121578,0.6158967303028234,0.6903273621595413,50.082603454589844,63.8514404296875
threshold,0.9,0.35,0.534213924462108,0.5223880410194397,0.9913947577111668,0.7874969519822408,0.6135462525176347,0.6897229181882899,49.747257232666016,63.8514404296875
threshold,0.8,0.35,0.5306406109570089,0.5128205418586731,0.9913746936415284,0.7898297994049169,0.6086569626530627,0.6875079832879303,49.20506286621094,63.8514404296875
threshold,1.0,0.4,0.5293449845939886,0.5166666507720947,0.9914666037471118,0.8020841681606645,0.6008538369617155,0.6870372721331207,47.832115173339844,63.8514404296875
threshold,0.95,0.4,0.5279953029058169,0.5128205418586731,0.9914765652692262,0.8050779338398276,0.5980214207643083,0.6862719282722822,47.42960739135742,63.8514404296875
threshold,0.9,0.4,0.5266343722635302,0.508474588394165,0.9914876678151092,0.8082404449706256,0.5951445938599731,0.68551383697815,47.01675033569336,63.8514404296875
threshold,0.7,0.35,0.5227742849031989,0.5,0.9912224246606365,0.7832856099264687,0.6040538751220267,0.6820921816218104,49.240928649902344,63.8514404296875
threshold,0.7,0.3,0.5226511405176919,0.5045045018196106,0.9907710407859843,0.7393098524282523,0.6301829967851583,0.680398584955922,54.42655944824219,63.8514404296875
threshold,0.8,0.2,0.5224622753138963,0.5211267471313477,0.989652222109174,0.6619879268382566,0.6869686649565803,0.6742469922065761,66.26093292236328,63.8514404296875
threshold,0.8,0.4,0.5218671229512684,0.5,0.9914692447684188,0.8131740355723536,0.5878102478528657,0.6823660151685266,46.15559387207031,63.8514404296875
threshold,1.0,0.45,0.5216047983580009,0.5,0.9915171549462073,0.8195075665866544,0.5845871819185919,0.6823950013656291,45.547760009765625,63.8514404296875
threshold,1.0,0.15,0.5203502898280601,0.5340909361839294,0.9888014927360119,0.6231336038328272,0.7126076240025068,0.6648739255926769,73.01969146728516,63.8514404296875
